,Year,Month,UW,XU,XD,TA,CC,YH,Total Stations
147,2012,4,60,0,0,2,8,0,70
148,2012,5,60,0,0,2,8,0,70
149,2012,6,60,0,0,2,8,0,70
150,2012,7,60,0,0,2,8,0,70
151,2012,8,60,0,0,2,8,0,70
152,2012,9,60,0,0,2,8,0,70
153,2012,10,60,0,0,2,8,0,70
154,2012,11,60,0,0,2,8,0,70
155,2012,12,60,0,0,2,8,0,70
156,2013,1,60,0,0,2,8,0,70
157,2013,2,60,0,0,2,8,0,70
158,2013,3,60,0,0,2,8,0,70
159,2013,4,60,0,0,2,8,0,70
160,2013,5,60,0,0,2,8,0,70
161,2013,6,60,0,0,2,8,0,70
162,2013,7,60,0,0,2,8,0,70
163,2013,8,60,0,0,2,9,0,71
164,2013,9,60,0,0,2,9,0,71
165,2013,10,60,0,0,2,9,0,71
166,2013,11,60,0,0,2,10,0,72
167,2013,12,60,0,0,2,10,0,72
168,2014,1,60,0,0,2,10,0,72
169,2014,2,60,0,0,2,10,0,72
170,2014,3,60,0,0,2,10,0,72
171,2014,4,60,0,0,2,10,0,72
172,2014,5,60,0,57,2,10,0,129
173,2014,6,60,0,58,2,10,0,130
174,2014,7,60,0,58,2,10,0,130
175,2014,8,60,0,58,2,10,0,130
176,2014,9,60,0,58,2,11,0,131
177,2014,10,60,0,58,2,11,0,131
178,2014,11,60,0,58,2,11,0,131
179,2014,12,60,0,58,2,11,0,131
180,2015,1,60,0,58,2,11,0,131
181,2015,2,60,0,58,2,11,0,131
182,2015,3,60,0,58,2,11,0,131
183,2015,4,60,0,58,2,11,0,131
184,2015,5,60,0,58,2,11,0,131
185,2015,6,60,0,58,2,11,0,131
186,2015,7,60,0,58,2,11,0,131
187,2015,8,60,0,58,2,12,0,132
188,2015,9,60,0,58,2,12,0,132
189,2015,10,60,0,58,2,12,0,132
190,2015,11,60,0,58,2,12,0,132
191,2015,12,60,0,58,2,12,0,132
192,2016,1,60,0,58,2,12,0,132
193,2016,2,60,0,58,2,12,0,132
194,2016,3,60,0,58,2,12,0,132
195,2016,4,60,0,58,2,12,0,132
196,2016,5,60,0,58,2,12,0,132
197,2016,6,59,0,58,2,12,19,150
198,2016,7,59,0,58,1,12,19,149
199,2016,8,59,0,58,1,12,20,150
200,2016,9,59,0,58,1,13,20,151
201,2016,10,59,0,58,0,13,20,150
202,2016,11,60,0,58,0,15,20,153
203,2016,12,60,0,58,0,15,9,142
204,2017,1,60,0,0,0,16,0,76
205,2017,2,59,0,0,0,16,0,75
206,2017,3,59,0,0,0,16,0,75
207,2017,4,59,0,0,0,16,0,75
208,2017,5,58,0,0,0,16,0,74
209,2017,6,58,0,0,0,16,0,74
210,2017,7,58,0,0,0,16,0,74
211,2017,8,57,0,0,0,16,0,73
212,2017,9,58,0,0,0,17,0,75
213,2017,10,57,0,0,0,17,0,74
214,2017,11,57,0,0,0,17,0,74
215,2017,12,57,0,0,0,17,0,74
216,2018,1,57,0,0,0,17,0,74
217,2018,2,57,0,0,0,17,0,74
218,2018,3,56,0,0,0,17,0,73
219,2018,4,56,0,0,0,17,0,73
220,2018,5,56,0,0,0,17,0,73
221,2018,6,55,0,0,0,17,0,72
222,2018,7,55,0,0,0,18,0,73
223,2018,8,55,0,0,0,18,0,73
224,2018,9,55,0,0,0,18,0,73
225,2018,10,55,0,0,0,19,0,74
226,2018,11,55,0,0,0,20,0,75
227,2018,12,55,0,0,0,20,0,75
228,2019,1,55,0,0,0,20,0,75
229,2019,2,55,0,0,0,20,0,75
230,2019,3,55,0,0,0,20,0,75
231,2019,4,55,0,0,0,20,0,75
232,2019,5,55,0,0,0,20,0,75
233,2019,6,55,0,0,0,22,0,77
234,2019,7,55,0,0,0,22,0,77
235,2019,8,55,0,0,0,22,0,77
236,2019,9,54,0,0,0,23,0,77
237,2019,10,53,0,0,0,23,0,76
238,2019,11,53,0,0,0,23,0,76
239,2019,12,52,0,0,0,23,0,75
240,2020,1,52,0,0,0,23,0,75
241,2020,2,52,0,0,0,23,0,75
242,2020,3,52,0,0,0,23,0,75
243,2020,4,52,0,0,0,23,0,75
244,2020,5,52,0,0,0,23,0,75
245,2020,6,52,0,0,0,23,0,75
246,2020,7,52,0,0,0,26,0,78
247,2020,8,52,0,0,0,27,0,79
248,2020,9,52,0,0,0,28,0,80
249,2020,10,52,0,0,0,33,0,85
250,2020,11,52,0,0,0,33,0,85
251,2020,12,52,0,0,0,33,0,85
252,2021,1,52,0,0,0,35,0,87
253,2021,2,51,0,0,0,35,0,86
254,2021,3,51,0,0,0,36,0,87
255,2021,4,51,0,0,0,35,0,86
256,2021,5,51,0,0,0,35,0,86
257,2021,6,51,0,0,0,40,0,91
258,2021,7,51,0,0,0,40,0,91
259,2021,8,51,0,0,0,40,0,91
260,2021,9,51,0,0,0,41,0,92
261,2021,10,51,0,0,0,42,0,93
262,2021,11,51,0,0,0,42,0,93
263,2021,12,51,0,0,0,40,0,91
264,2022,1,51,0,0,0,40,0,91
265,2022,2,51,0,0,0,40,0,91
266,2022,3,51,0,0,0,40,0,91
267,2022,4,51,0,0,0,40,0,91
268,2022,5,51,0,0,0,42,0,93
269,2022,6,51,0,0,0,43,0,94
270,2022,7,51,0,0,0,42,0,93
271,2022,8,51,0,0,0,42,0,93
272,2022,9,51,0,0,0,48,0,99
273,2022,10,51,0,0,0,48,0,99
274,2022,11,51,0,0,0,48,0,99
275,2022,12,51,0,0,0,48,0,99
276,2023,1,50,0,0,0,48,0,98
277,2023,2,50,0,0,0,49,0,99
278,2023,3,50,0,0,0,49,0,99
279,2023,4,50,0,0,0,49,0,99
280,2023,5,50,0,0,0,49,0,99
281,2023,6,49,0,0,0,50,0,99
282,2023,7,49,0,0,0,50,0,99
283,2023,8,49,0,0,0,52,0,101
284,2023,9,49,0,0,0,52,0,101
285,2023,10,49,0,0,0,52,0,101
286,2023,11,49,0,0,0,52,0,101
287,2023,12,49,0,0,0,52,0,101
